project_type,criterion_name,weight,description
Engineering,context aims objectives,2,"Clarity and framing of problem, context, aims, objectives, and challenge level."
Engineering,literature review,2,"Quality, depth, criticality, relevance, and completeness of literature review."
Engineering,methodological approach,1,"Appropriateness, justification, application, and clarity of methodology and lifecycle."
Engineering,requirements specification,3,"Completeness, justification, consistency, and analysis of system requirements."
Engineering,it design analysis,3,"System design decisions, architectures, interfaces, and design rationale."
Engineering,implementation discussion,3,"Implementation decisions, trade-offs, algorithms, data structures, tools, command of techniques."
Engineering,verification validation,1,"Testing, debugging, verification, validation and justification of approaches."
Engineering,evaluation against requirements,2,"Evaluation methods, evidence of meeting requirements, limitations, and discussion."
Engineering,project planning management,1,"Project plan, adherence, progress evaluation, and project management methodology."
Engineering,solution attributes,5,"Quality of artefact including reliability, completeness, maintainability, timeliness."
Engineering,summary conclusions recommendations,2,"Summary, conclusions, recommendations, originality, and alignment with evidence."
Engineering,structure presentation,2,"Report structure, clarity, readability, grammar, diagrams, page layout."
Engineering,overall understanding reflection,3,"Evidence of understanding, reflection, critical insight, awareness of limitations."
Research,context aims objectives,2,"Research topic framing, aims, objectives, context, and challenge level."
Research,literature review,2,"Breadth, depth, relevance, critique, current sources, and credibility."
Research,research questions specification,2,"Clarity, relevance, formalisation, measurability, justification of research questions."
Research,research design,3,"Design of approach, methodology, data collection, analysis processes, ethics."
Research,supporting artefact design implementation,2,"Design and implementation decisions for supporting artefact/software."
Research,results presentation,2,"Clarity and correctness of results, graphs, avoiding bias, context provided."
Research,results evaluation,3,"Interpretation of results, correctness, insight, meeting research questions."
Research,project planning management,1,"Project planning, timeline, work schedule, progress evaluation."
Research,summary conclusions recommendations,2,"Summary, conclusions, recommendations, insight, linkage to research questions."
Research,structure presentation,2,"Organisation, clarity, grammar, structure, diagrams, fluency."
Research,overall understanding reflection,3,"Understanding, novelty, critical insight, awareness of limitations."
Study,context aims objectives,2,"Framing of research topic, aims, objectives, challenge, context."
Study,literature review,3,"Quality, depth, relevance, critical insight, search strategy, originality."
Study,methodological approach,2,"Appropriateness, justification, and application of methodology used."
Study,primary research results,3,"Design and execution of any primary research, data evaluation and interpretation."
Study,content quality,3,"Analysis level, originality, insight, structure, and breadth of topic coverage."
Study,project planning management,1,"Planning, scheduling, progress tracking, resource management."
Study,summary conclusions recommendations,2,"Appropriateness of conclusions, linkage to objectives, support from report."
Study,structure presentation,2,"Structure, fluency, clarity, grammar, diagrams, presentation quality."
Study,overall understanding reflection,3,"Understanding, analysis, critical reflection, awareness of strengths/weaknesses."
